Index,Prime,Time,OriginalTime
1314,10789,1,355
1315,10799,1,355
1316,10831,1,355
1317,10837,1,355
1318,10847,1,355
1319,10853,1,355
1320,10859,1,355
1321,10861,1,355
1322,10867,1,355
1323,10883,1,355
1324,10889,1,355
1325,10891,1,355
1326,10903,1,355
1327,10909,1,355
1328,10937,1,355
1329,10939,1,355
1330,10949,1,355
1331,10957,1,355
1332,10973,1,355
1333,10979,1,355
1334,10987,1,355
1335,10993,1,355
1336,11003,1,355
1337,11027,1,355
1338,11047,1,355
1339,11057,1,355
1340,11059,1,355
1341,11069,1,355
1342,11071,1,355
1343,11083,1,355
1344,11087,1,355
1345,11093,1,355
1346,11113,1,355
1347,11117,1,355
1348,11119,1,355
1349,11131,1,355
1350,11149,1,355
1351,11159,1,355
1352,11161,1,355
1353,11171,1,355
1354,11173,1,355
1355,11177,1,355
1356,11197,1,355
1357,11213,1,355
1358,11239,1,355
1359,11243,1,355
1360,11251,1,355
1361,11257,1,355
1362,11261,1,355
1363,11273,1,355
1364,11279,1,355
1365,11287,1,355
1366,11299,1,355
1367,11311,1,355
1368,11317,1,355
1369,11321,1,355
1370,11329,1,355
1371,11351,1,355
1372,11353,1,355
1373,11369,1,355
1374,11383,1,355
1375,11393,1,355
1376,11399,1,355
1377,11411,1,355
1378,11423,1,355
1379,11437,1,355
1380,11443,1,355
1381,11447,1,355
1382,11467,1,355
1383,11471,1,355
1384,11483,1,355
1385,11489,1,355
1386,11491,1,355
1387,11497,1,355
1388,11503,1,355
1389,11519,1,355
1390,11527,1,355
1391,11549,1,355
1392,11551,1,355
1393,11579,1,355
1394,11587,1,355
1395,11593,1,355
1396,11597,1,355
1397,11617,1,355
1398,11621,1,355
1399,11633,1,355
1400,11657,1,355
1401,11677,1,355
1402,11681,1,355
1403,11689,1,355
1404,11699,1,355
1405,11701,1,355
1406,11717,1,355
1407,11719,1,355
1408,11731,1,355
1409,11743,1,355
1410,11777,1,355
1411,11779,1,355
1412,11783,1,355
1413,11789,1,355
1414,11801,1,355
1415,11807,1,355
1416,11813,1,355
1417,11821,1,355
1418,11827,1,355
1419,11831,1,355
1420,11833,1,355
1421,11839,1,355
1422,11863,1,355
1423,11867,1,355
1424,11887,1,355
1425,11897,1,355
1426,11903,1,355
1427,11909,1,355
1428,11923,1,355
1429,11927,1,355
1430,11933,1,355
1431,11939,1,355
1432,11941,1,355
1433,11953,1,355
1434,11959,1,355
1435,11969,1,355
1436,11971,1,355
1437,11981,1,355
1438,11987,1,355
1439,12007,1,355
1440,12011,1,355
1441,12037,1,355
1442,12041,1,355
1443,12043,1,355
1444,12049,1,355
1445,12071,1,355
1446,12073,1,355
1447,12097,1,355
1448,12101,1,355
1449,12107,1,355
1450,12109,1,355
1451,12113,1,355
1452,12119,1,355
1453,12143,1,355
1454,12149,1,355
1455,12157,1,355
1456,12161,1,355
1457,12163,1,355
1458,12197,1,355
1459,12203,1,355
1460,12211,1,355
1461,12227,1,355
1462,12239,1,355
1463,12241,1,355
1464,12251,1,355
1465,12253,1,355
1466,12263,1,355
1467,12269,1,355
1468,12277,1,355
1469,12281,1,355
1470,12289,1,355
1471,12301,1,355
1472,12323,1,355
1473,12329,1,355
1474,12343,1,355
1475,12347,1,355
1476,12373,1,355
1477,12377,1,355
1478,12379,1,355
1479,12391,1,355
1480,12401,1,355
1481,12409,1,355
1482,12413,1,355
1483,12421,1,355
1484,12433,1,355
1485,12437,1,355
1486,12451,1,355
1487,12457,1,355
1488,12473,1,355
1489,12479,1,355
1490,12487,1,355
